time_stamp,siteRefID,sectorRefID,woRefID,networkModeID,bandID,carrierID,scopeID,site_id,sector_id,sector_netmode,sector_band,sector_carrier,sector_scope,cell_id,lac_id,pci_id,mcc,mnc,latitude,longitude,network_mode,band,carrier,gsm_rssi,gsm_rxqual,wcdma_rscp,wcdma_ecio,lte_rssi,lte_rsrp,lte_rsrq,lte_rsnr,lte_cqi,nr_band,nr_carrier,nr_pci,nr_rsrp,nr_rsrq,nr_snr,nr_cqi,test_result,distance_from_site,angle_to_site,ftp_status,from_pci,to_pci,floorID,RRCState,TCH,NetMode1,Band1,CH1,PCI1,CI1,SS1,SP1,SQ1,SNR1,NetMode2,Band2,CH2,PCI2,CI2,SS2,SP2,SQ2,SNR2,NetMode3,Band3,CH3,PCI3,CI3,SS3,SP3,SQ3,SNR3,NetMode4,Band4,CH4,PCI4,CI4,SS4,SP4,SQ4,SNR4,NetMode5,Band5,CH5,PCI5,CI5,SS5,SP5,SQ5,SNR5,NetMode6,Band6,CH6,PCI6,CI6,SS6,SP6,SQ6,SNR6,NetMode7,Band7,CH7,PCI7,CI7,SS7,SP7,SQ7,SNR7,NetMode8,Band8,CH8,PCI8,CI8,SS8,SP8,SQ8,SNR8,stack_trace,PRBPercent,MCS,RB,Modulation,ModPercent,TM,RI,PCPDSCH,PCPUSCH,SCPDSCH,SCPUSCH
2020-02-14 10:14:34:376,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-60.00,-89.50,-9.50,11.10,0,71,125810,-1,-126.1,-18.32,-6.87,0,211,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:211 Max:211Min: 211Avg: 211Med: 211,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:35:031,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-58.12,-90.81,-12.69,6.90,0,71,125810,-1,-126.1,-18.32,-6.87,0,60.2,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:60.2 Max:211Min: 60.2Avg: 135.6Med: 135.6,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:36:040,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-59.81,-90.50,-10.69,12.90,0,71,125810,-1,-126.1,-18.32,-6.87,0,64,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:64 Max:211Min: 60.2Avg: 111.7Med: 64,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:37:029,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-59.62,-90.94,-11.31,9.80,0,71,125810,-1,-126.1,-18.32,-6.87,0,56.7,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:56.7 Max:211Min: 56.7Avg: 98Med: 62.1,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:38:050,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-63.12,-91.12,-7.94,14.40,0,71,125810,-1,-126.1,-18.32,-6.87,0,61.3,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:61.3 Max:211Min: 56.7Avg: 90.6Med: 61.3,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:39:052,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-62.25,-90.38,-8.12,13.60,0,71,125810,-1,-126.1,-18.32,-6.87,0,57.6,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:57.6 Max:211Min: 56.7Avg: 85.1Med: 60.8,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:40:060,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-59.94,-89.44,-9.50,13.30,0,71,125810,-1,-126.1,-18.32,-6.87,0,66.6,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:66.6 Max:211Min: 56.7Avg: 82.5Med: 61.3,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:41:072,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-62.38,-91.12,-8.69,11.70,0,71,125810,-1,-126.1,-18.32,-6.87,0,78.3,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:78.3 Max:211Min: 56.7Avg: 82Med: 62.6,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:42:053,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-62.50,-90.56,-8.06,13.50,0,71,125810,-1,-126.1,-18.32,-6.87,0,67.2,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:67.2 Max:211Min: 56.7Avg: 80.3Med: 64,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-14 10:14:43:082,729518,165612,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Alpha,NR,N71,125810,SSV,16718850,31346,67,310,260,33.29361083,-87.59774542,LTE,-,66786,0,0,0,0,-61.88,-89.88,-8.00,14.60,0,71,125810,-1,-126.1,-18.32,-6.87,0,83.6,0.3,68.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:83.6 Max:211Min: 56.7Avg: 80.6Med: 65.3,0.0,,0,,,,0,0.0,0.0,0.0,0.0
