time_stamp,siteRefID,sectorRefID,woRefID,networkModeID,bandID,carrierID,scopeID,site_id,sector_id,sector_netmode,sector_band,sector_carrier,sector_scope,cell_id,lac_id,pci_id,mcc,mnc,latitude,longitude,network_mode,band,carrier,gsm_rssi,gsm_rxqual,wcdma_rscp,wcdma_ecio,lte_rssi,lte_rsrp,lte_rsrq,lte_rsnr,lte_cqi,nr_band,nr_carrier,nr_pci,nr_rsrp,nr_rsrq,nr_snr,nr_cqi,test_result,distance_from_site,angle_to_site,ftp_status,from_pci,to_pci,floorID,RRCState,TCH,NetMode1,Band1,CH1,PCI1,CI1,SS1,SP1,SQ1,SNR1,NetMode2,Band2,CH2,PCI2,CI2,SS2,SP2,SQ2,SNR2,NetMode3,Band3,CH3,PCI3,CI3,SS3,SP3,SQ3,SNR3,NetMode4,Band4,CH4,PCI4,CI4,SS4,SP4,SQ4,SNR4,NetMode5,Band5,CH5,PCI5,CI5,SS5,SP5,SQ5,SNR5,NetMode6,Band6,CH6,PCI6,CI6,SS6,SP6,SQ6,SNR6,NetMode7,Band7,CH7,PCI7,CI7,SS7,SP7,SQ7,SNR7,NetMode8,Band8,CH8,PCI8,CI8,SS8,SP8,SQ8,SNR8,stack_trace,PRBPercent,MCS,RB,Modulation,ModPercent,TM,RI,PCPDSCH,PCPUSCH,SCPDSCH,SCPUSCH
2020-02-13 15:10:15:712,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25981261,-87.60628141,LTE,-,66786,0,0,0,0,-76.44,-114.19,-16.38,2.20,0,71,125810,-1,-119.07,-14.54,-1.38,0,41.2,2.2,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:41.2 Max:41.2Min: 41.2Avg: 41.2Med: 41.2,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:16:663,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25962271,-87.6062185,LTE,-,66786,0,0,0,0,-76.31,-112.25,-14.19,0.60,0,71,125810,-1,-119.07,-14.54,-1.38,0,53.6,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:53.6 Max:53.6Min: 41.2Avg: 47.4Med: 47.4,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:17:665,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25941857,-87.60614593,LTE,-,66786,0,0,0,0,-73.00,-108.62,-15.62,1.00,0,71,125810,-1,-119.07,-14.54,-1.38,0,44.9,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:44.9 Max:53.6Min: 41.2Avg: 46.6Med: 44.9,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:18:669,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25921702,-87.6060806,LTE,-,66786,0,0,0,0,-75.38,-114.31,-18.56,-1.50,0,71,125810,-1,-119.07,-14.54,-1.38,0,42.8,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:42.8 Max:53.6Min: 41.2Avg: 45.6Med: 43.8,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:19:701,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25901035,-87.60600949,LTE,-,66786,0,0,0,0,-71.88,-109.38,-17.50,0.20,0,71,125810,-1,-119.07,-14.54,-1.38,0,66.4,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:66.4 Max:66.4Min: 41.2Avg: 49.8Med: 44.9,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:20:669,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25880092,-87.60594146,LTE,-,66786,0,0,0,0,-70.88,-111.00,-17.56,-2.90,0,71,125810,-1,-119.07,-14.54,-1.38,0,46.5,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:46.5 Max:66.4Min: 41.2Avg: 49.2Med: 45.7,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:21:687,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25858679,-87.60586985,LTE,-,66786,0,0,0,0,-70.94,-110.56,-19.56,-4.60,0,71,125810,-1,-119.07,-14.54,-1.38,0,51.2,2.3,186.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:51.2 Max:66.4Min: 41.2Avg: 49.5Med: 46.5,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:22:689,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25837209,-87.60579915,LTE,-,66786,0,0,0,0,-71.94,-111.94,-19.31,-2.80,0,71,125810,-1,-119.07,-14.54,-1.38,0,61.2,2.3,185.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:61.2 Max:66.4Min: 41.2Avg: 51Med: 48.8,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:23:691,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25815441,-87.60572671,LTE,-,66786,0,0,0,0,-71.56,-111.50,-18.88,-0.30,0,71,125810,-1,-119.07,-14.54,-1.38,0,46.5,2.4,185.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:46.5 Max:66.4Min: 41.2Avg: 50.5Med: 46.5,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:24:692,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25794346,-87.60565641,LTE,-,66786,0,0,0,0,-71.94,-111.88,-19.62,-6.50,0,71,125810,-1,-119.07,-14.54,-1.38,0,53.9,2.4,185.0,Not Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,Curr:53.9 Max:66.4Min: 41.2Avg: 50.8Med: 48.8,0.0,,0,,,,0,0.0,0.0,0.0,0.0
