time_stamp,siteRefID,sectorRefID,woRefID,networkModeID,bandID,carrierID,scopeID,site_id,sector_id,sector_netmode,sector_band,sector_carrier,sector_scope,cell_id,lac_id,pci_id,mcc,mnc,latitude,longitude,network_mode,band,carrier,gsm_rssi,gsm_rxqual,wcdma_rscp,wcdma_ecio,lte_rssi,lte_rsrp,lte_rsrq,lte_rsnr,lte_cqi,nr_band,nr_carrier,nr_pci,nr_rsrp,nr_rsrq,nr_snr,nr_cqi,test_result,distance_from_site,angle_to_site,ftp_status,from_pci,to_pci,floorID,RRCState,TCH,NetMode1,Band1,CH1,PCI1,CI1,SS1,SP1,SQ1,SNR1,NetMode2,Band2,CH2,PCI2,CI2,SS2,SP2,SQ2,SNR2,NetMode3,Band3,CH3,PCI3,CI3,SS3,SP3,SQ3,SNR3,NetMode4,Band4,CH4,PCI4,CI4,SS4,SP4,SQ4,SNR4,NetMode5,Band5,CH5,PCI5,CI5,SS5,SP5,SQ5,SNR5,NetMode6,Band6,CH6,PCI6,CI6,SS6,SP6,SQ6,SNR6,NetMode7,Band7,CH7,PCI7,CI7,SS7,SP7,SQ7,SNR7,NetMode8,Band8,CH8,PCI8,CI8,SS8,SP8,SQ8,SNR8,stack_trace,PRBPercent,MCS,RB,Modulation,ModPercent,TM,RI,PCPDSCH,PCPUSCH,SCPDSCH,SCPUSCH
2020-02-13 15:10:25:243,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749315,31346,52,310,260,33.25794346,-87.60565641,LTE,-,66786,0,0,0,0,-70.88,-112.75,-21.50,-3.50,0,71,125810,-1,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,EVENT:RRC_REQ:2:HO:ACT_MODIFIED:LTE:LTE:ACT_MODIFIED:LTE:LTE,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:25:700,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25772304,-87.60558246,LTE,-,66786,0,0,0,0,-70.12,-105.00,-13.38,4.80,0,71,125810,-1,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,HO:Success:LTE-LTE:53:53,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:545,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-74.56,-107.31,-12.56,4.00,0,71,125810,434,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,HO:Attempt:LTE-NR:BEARER-SETUP,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:546,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-74.56,-107.31,-12.56,4.00,0,71,125810,434,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,EVENT:RRC_REQ:1:RECFG:ACT_MODIFIED:LTE_AND_NR:NR,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:558,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-74.56,-107.31,-12.56,4.00,0,71,125810,434,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,HO:Success:LTE-NR:BEARER-SETUP:53:230:779.172,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:559,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-74.56,-107.31,-12.56,4.00,0,71,125810,434,-119.07,-14.54,-1.38,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,HO:Success:NR-NR:BEARER-SETUP:434:230:779.172,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:636,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-73.56,-106.06,-12.50,6.90,0,71,125810,230,-114.25,-16.84,-7.41,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,RACH_TRIGGER:CONNECTION_REQUEST:T_C_RNTI:35576:2:0,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:759,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.25750836,-87.60551731,NR,-,66786,0,0,0,0,-73.56,-106.06,-12.50,6.90,0,71,125810,230,-114.25,-16.84,-7.41,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,RACH_ATTEMPT:FAILURE_MSG2:UL_GRANT:1,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:829,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.2614649,-87.606529,NR,-,66786,0,0,0,0,-73.56,-106.06,-12.50,6.90,0,71,125810,230,-114.25,-16.84,-7.41,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,RACH_ATTEMPT:FAILURE_MSG2:UL_GRANT:2,0.0,,0,,,,0,0.0,0.0,0.0,0.0
2020-02-13 15:10:26:921,729518,165614,TMO-SSV-0220-00031,233926,233936,233946,36,9BH1440A,Gamma,NR,N71,125810,SSV,16749314,31346,53,310,260,33.2614649,-87.606529,NR,-,66786,0,0,0,0,-73.56,-106.06,-12.50,6.90,0,71,125810,230,-114.25,-16.84,-7.41,0,0,2.4,185.0,Running,428,428,0,RRC_CONNECTED,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,NA,NA,NA,-1,0,0,0,0,0,RACH_ATTEMPT:FAILURE_MSG2:UL_GRANT:3,0.0,,0,,,,0,0.0,0.0,0.0,0.0
